"Table1","Table2","JoinByTable1","JoinByTable2","Notes"
"vst_mappingandtagging","vst_non-woody","individualID","individualID",NA
"vst_mappingandtagging","vst_identificationHistory","identificationHistoryID","identificationHistoryID",NA
"sme_scaledMicrobialBiomass","sme_batchResults","batchID","batchID",NA
"sme_scaledMicrobialBiomass","sls_soilCoreCollection","biomassID","biomassID",NA
"sme_microbialBiomass","sme_batchResults","batchID","batchID",NA
"sme_microbialBiomass","sls_soilCoreCollection","biomassID","biomassID",NA
"sme_labSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"mms_metagenomeDnaExtraction","mms_metagenomeSequencing","dnaSampleID","dnaSampleID",NA
"mms_metagenomeSequencing","mms_rawDataFiles","dnaSampleID","dnaSampleID",NA
"mms_metagenomeDnaExtraction","mms_rawDataFiles","dnaSampleID","dnaSampleID",NA
"mmg_soilDnaExtraction","mmg_soilPcrAmplification_16S","dnaSampleID","dnaSampleID",NA
"mmg_soilDnaExtraction","mmg_soilPcrAmplification_ITS","dnaSampleID","dnaSampleID",NA
"mmg_soilPcrAmplification_16S","mmg_soilMarkerGeneSequencing_16S","dnaSampleID","dnaSampleID",NA
"mmg_soilPcrAmplification_ITS","mmg_soilMarkerGeneSequencing_ITS","dnaSampleID","dnaSampleID",NA
"mmg_soilMarkerGeneSequencing_16S","mmg_soilRawDataFiles","Not fully automatable: Filter the raw data table to only 16S samples, then join on dnaSampleID","Not fully automatable: Filter the raw data table to only 16S samples, then join on dnaSampleID",NA
"mmg_soilMarkerGeneSequencing_ITS","mmg_soilRawDataFiles","Not fully automatable: Filter the raw data table to only ITS samples, then join on dnaSampleID","Not fully automatable: Filter the raw data table to only ITS samples, then join on dnaSampleID",NA
"mmg_soilDnaExtraction","sls_soilCoreCollection","geneticSampleID","geneticSampleID",NA
"mmg_soilMarkerGeneSequencing_16S","mcc_soilSeqVariantMetadata_16S","dnaSampleID","dnaSampleID",NA
"mmg_soilMarkerGeneSequencing_ITS","mcc_soilSeqVariantMetadata_ITS","dnaSampleID","dnaSampleID",NA
"mmg_soilDnaExtraction","mmg_soilMarkerGeneSequencing_16S","Requires intermediate table: join via mmg_soilPcrAmplification_16S table","Requires intermediate table: join via mmg_soilPcrAmplification_16S table",NA
"mmg_soilDnaExtraction","mmg_soilMarkerGeneSequencing_ITS","Requires intermediate table: join via mmg_soilPcrAmplification_ITS table","Requires intermediate table: join via mmg_soilPcrAmplification_ITS table",NA
"mmg_soilDnaExtraction","mmg_soilRawDataFiles","dnaSampleID","dnaSampleID",NA
"mmg_soilMarkerGeneSequencing_16S","mmg_soilMarkerGeneSequencing_ITS","Join not recommended: different sequencing types","Join not recommended: different sequencing types",NA
"mmg_soilMarkerGeneSequencing_16S","mmg_soilPcrAmplification_ITS","Join not recommended: different sequencing types","Join not recommended: different sequencing types",NA
"mmg_soilMarkerGeneSequencing_ITS","mmg_soilPcrAmplification_16S","Join not recommended: different sequencing types","Join not recommended: different sequencing types",NA
"mmg_soilPcrAmplification_16S","mmg_soilPcrAmplification_ITS","Join not recommended: different sequencing types","Join not recommended: different sequencing types",NA
"mmg_soilPcrAmplification_16S","mmg_soilRawDataFiles","Not fully automatable: Filter the raw data table to only 16S samples, then join on dnaSampleID","Not fully automatable: Filter the raw data table to only 16S samples, then join on dnaSampleID",NA
"mmg_soilPcrAmplification_ITS","mmg_soilRawDataFiles","Not fully automatable: Filter the raw data table to only ITS samples, then join on dnaSampleID","Not fully automatable: Filter the raw data table to only ITS samples, then join on dnaSampleID",NA
"mga_batchResults","mga_soilGroupAbundances","batchID","batchID",NA
"mga_soilGroupAbundances","sls_soilCoreCollection","geneticSampleID","geneticSampleID",NA
"mga_labSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"dsc_fieldData","dsc_individualFieldData","Direct join not recommended: filter to dsc_fieldData:DischargeBoutTypeID equal to 'flowmeter' or 'flowmeter_rea', then join on namedLocation, collectDate","Direct join not recommended: filter to dsc_fieldData:DischargeBoutTypeID equal to 'flowmeter' or 'flowmeter_rea', then join on namedLocation, collectDate",NA
"dsc_fieldData","dsc_fieldDataADCP","Direct join not recommended: filter to dsc_fieldData:DischargeBoutTypeID equal to 'adcp' or 'adcp_rea', then join on namedLocation, collectDate","Direct join not recommended: filter to dsc_fieldData:DischargeBoutTypeID equal to 'adcp' or 'adcp_rea', then join on namedLocation, collectDate",NA
"dsc_fieldDataADCP","dsc_individualFieldData","Join not recommended: each table contains data for mutually exclusive discharge measurement methods","Join not recommended: each table contains data for mutually exclusive discharge measurement methods",NA
"apl_clipHarvest","apl_biomass","fieldID","fieldID",NA
"apl_clipHarvest","apl_plantExternalLabDataPerSample","Requires intermediate table: join via apl_biomass table","",NA
"apl_biomass","apl_plantExternalLabDataPerSample","chemSubsampleID","sampleID",NA
"apl_plantExternalLabQA","Any other table","Join not recommended. Data resolution does not match other tables.","",NA
"asi_externalLabPOMSummaryData","Any other table","Join not recommended. Data resolution does not match other tables.","",NA
"apl_clipHarvest","apl_pointTransect","eventID","eventID",""
"apl_clipHarvest","apc_morphospecies","Not fully automatable: Records can be connected by siteID and morphospeciesID, and overlap of collectDate with morphospeciesCreated and morphospeciesResolved dates","Not fully automatable: Records can be connected by siteID and morphospeciesID, and overlap of collectDate with morphospeciesCreated and morphospeciesResolved dates",""
"apl_clipHarvest","apl_algaeExternalLabDataPerSample","sampleID","sampleID",""
"apl_clipHarvest","apl_biomass","fieldID","fieldID",""
"apl_biomass","apl_taxonomyRaw","sampleID","sampleID","Note that there may be multiple records per sampleID in apl_taxonomyRaw, and not every record in apl_biomass has a corresponding record in apl_taxonomyRaw"
"apl_biomass","apl_taxonomyProcessed","sampleID","sampleID","Note that there may be multiple records per sampleID in apl_taxonomyProcessed, and not every record in apl_biomass has a corresponding record in apl_taxonomyProcessed"
"apl_clipHarvest","apl_taxonomyRaw","Requires intermediate table: Join via apl_biomass table","Requires intermediate table: Join via apl_biomass table",""
"apl_clipHarvest","apl_taxonomyProcessed","Requires intermediate table: Join via apl_biomass table","Requires intermediate table: Join via apl_biomass table",""
"apl_taxonomyRaw","apl_taxonomyProcessed","Join not recommended. These tables contain identifications of the same samples with possibly differing higher-order taxonomy; see User Guide.","Join not recommended. These tables contain identifications of the same samples with possibly differing higher-order taxonomy; see User Guide.",""
"apc_morphospecies","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",""
"apc_perTaxon","apc_taxonomyRaw","sampleID","sampleID",NA
"apc_perTaxon","apc_taxonomyProcessed","sampleID","sampleID",NA
"apc_pointTransect","apc_perTaxon","namedLocation,pointNumber,collectDate","namedLocation,pointNumber,collectDate",NA
"apc_pointTransect","apc_taxonomyProcessed","Requires intermediate table: join via apc_perTaxon table","Requires intermediate table: join via apc_perTaxon table",NA
"apc_pointTransect","apc_taxonomyRaw","Requires intermediate table: join via apc_perTaxon table","Requires intermediate table: join via apc_perTaxon table",NA
"apc_taxonomyProcessed","apc_taxonomyRaw","Join not recommended. These tables contain identifications of the same samples with possibly differing higher-order taxonomy; see User Guide.","Join not recommended. These tables contain identifications of the same samples with possibly differing higher-order taxonomy; see User Guide.",NA
"apc_voucher","apc_voucherTaxonomyRaw","sampleID","sampleID",NA
"apc_voucher","apc_voucherTaxonomyProcessed","sampleID","sampleID",NA
"apc_morphospecies","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"mcc_benthicTaxonTableMetadata_16S","mcc_benthicTaxonTableMetadata_ITS","dnaSampleID","dnaSampleID",NA
"mcc_taxonTableLabSummary","mcc_benthicTaxonTableMetadata_16S","testMethod","testMethod",NA
"mcc_taxonTableLabSummary","mcc_benthicTaxonTableMetadata_ITS","testMethod","testMethod",NA
"mct_benthicSampleMetadata_ITS","mct_benthicPerSampleTaxonomy_ITS","dnaSampleID","dnaSampleID",NA
"mct_benthicSampleMetadata_16S","mct_benthicPerSampleTaxonomy_16S","dnaSampleID","dnaSampleID",NA
"mct_taxonTableLabSummary","mct_benthicSampleMetadata_ITS","codeVersion","codeVersion",NA
"mct_taxonTableLabSummary","mct_benthicSampleMetadata_16S","codeVersion","codeVersion",NA
"amb_fieldParent","mct_benthicSampleMetadata_ITS","dnaSampleID","dnaSampleID",NA
"amb_fieldParent","mct_benthicSampleMetadata_16S","dnaSampleID","dnaSampleID",NA
"gwc_fieldSuperParent","gwc_fieldData","parentSampleID","parentSampleID",NA
"gwc_fieldData","gwc_domainLabData","parentSampleID","parentSampleID",NA
"gwc_fieldData","gwc_externalLabDataByAnalyte","Not fully automatable: sampleID in gwc_externalLabDataByAnalyte corresponds to filtSampleID, filtNutSampleID, rawSampleID, rawNutSampleID, pcnSampleID, and dicSampleID in gwc_fieldData","Not fully automatable: sampleID in gwc_externalLabDataByAnalyte corresponds to filtSampleID, filtNutSampleID, rawSampleID, rawNutSampleID, pcnSampleID, and dicSampleID in gwc_fieldData",NA
"gwc_domainLabData","gwc_externalLabDataByAnalyte","Requires intermediate table: join via gwc_fieldData table","Requires intermediate table: join via gwc_fieldData table",NA
"gwc_domainLabData","gwc_fieldSuperParent","parentSampleID","parentSampleID",NA
"gwc_domainLabData","gwc_wellStabilization","parentSampleID","parentSampleID",NA
"gwc_externalLabDataByAnalyte","gwc_fieldSuperParent","Requires intermediate table: join via gwc_fieldData table","Requires intermediate table: join via gwc_fieldData table",NA
"gwc_externalLabDataByAnalyte","gwc_wellStabilization","Join not recommended: data resolutions are very different. ","Join not recommended: data resolutions are very different. ",NA
"gwc_fieldData","gwc_wellStabilization","parentSampleID","parentSampleID",NA
"gwc_fieldSuperParent","gwc_wellStabilization","parentSampleID","parentSampleID",NA
"swc_externalLabSummaryData","Any other table","Join not recommended. Relevant quality control data can be connected to analytes by overlap of analysisDate with labSpecific start and end dates.","Join not recommended. Relevant quality control data can be connected to analytes by overlap of analysisDate with labSpecific start and end dates.",NA
"swc_fieldSuperParent","swc_fieldData","parentSampleID","parentSampleID",NA
"swc_fieldData","swc_domainLabData","parentSampleID","parentSampleID",NA
"swc_fieldData","swc_externalLabDataByAnalyte","Not fully automatable: sampleID in swc_externalLabDataByAnalyte corresponds to filtSampleID, filtNutSampleID, rawSampleID, rawNutSampleID, and pcnSampleID in swc_fieldData","Not fully automatable: sampleID in swc_externalLabDataByAnalyte corresponds to filtSampleID, filtNutSampleID, rawSampleID, rawNutSampleID, and pcnSampleID in swc_fieldData",NA
"swc_asiPOMFieldData","swc_domainLabData","parentSampleID","parentSampleID",NA
"swc_asiPOMFieldData","swc_externalLabDataByAnalyte","Not fully automatable: sampleID in swc_externalLabDataByAnalyte corresponds to isotopePOMSampleID or isotopePOMRep2SampleID in swc_asiPOMFieldData","Not fully automatable: sampleID in swc_externalLabDataByAnalyte corresponds to isotopePOMSampleID or isotopePOMRep2SampleID in swc_asiPOMFieldData",NA
"swc_asiPOMFieldData","swc_fieldData","parentSampleID","parentSampleID",NA
"swc_asiPOMFieldData","swc_fieldSuperParent","parentSampleID","parentSampleID",NA
"swc_domainLabData","swc_externalLabDataByAnalyte","Requires intermediate table: join via swc_fieldData table","Requires intermediate table: join via swc_fieldData table",NA
"swc_domainLabData","swc_fieldSuperParent","parentSampleID","parentSampleID",NA
"swc_externalLabDataByAnalyte","swc_fieldSuperParent","Requires intermediate table: join via swc_fieldData table","Requires intermediate table: join via swc_fieldData table",NA
"swc_externalLabSummaryData","Any other table","Join not recommended.  Relevant quality control data can be connected to analytes by overlap of analysisDate with labSpecific start and end dates.","Join not recommended.  Relevant quality control data can be connected to analytes by overlap of analysisDate with labSpecific start and end dates.",NA
"sdg_fieldSuperParent","sdg_fieldData","parentSampleID","parentSampleID",""
"sdg_fieldDataAir","sdg_externalLabData","Not fully automatable: referenceAirSampleID is one of the sample types reported in sdg_externalLabData as sampleID. See Standard Calculations.","Not fully automatable: referenceAirSampleID is one of the sample types reported in sdg_externalLabData as sampleID. See Standard Calculations.",""
"sdg_fieldDataProc","sdg_externalLabData","Not fully automatable: equilibratedAirSampleID is one of the sample types reported in sdg_externalLabData as sampleID. See Standard Calculations.","Not fully automatable: equilibratedAirSampleID is one of the sample types reported in sdg_externalLabData as sampleID. See Standard Calculations.",""
"sdg_externalLabData","sdg_fieldData","Requires intermediate table: join via sdg_fieldDataProc table","Requires intermediate table: join via sdg_fieldDataProc table",""
"sdg_externalLabData","sdg_fieldSuperParent","Requires intermediate table: join via the sdg_fieldDataProc and sdg_fieldData tables","Requires intermediate table: join via the sdg_fieldDataProc and sdg_fieldData tables",""
"sdg_fieldData","sdg_fieldDataAir","Join not recommended: samples are collected at the same date and site, but do not line up record by record. sdg_fieldDataProc contains records of the mixture of samples sourced from these two tables.","Join not recommended: samples are collected at the same date and site, but do not line up record by record. sdg_fieldDataProc contains records of the mixture of samples sourced from these two tables.",""
"sdg_fieldData","sdg_fieldDataProc","waterSampleID","waterSampleID",""
"sdg_fieldDataAir","sdg_fieldDataProc","referenceAirSampleID","referenceAirSampleID","If using neonOS::joinTableNEON(), include input parameter location.fields=FALSE"
"sdg_fieldDataAir","sdg_fieldSuperParent","Join not recommended: samples are collected at the same date and site, but do not line up record by record.","Join not recommended: samples are collected at the same date and site, but do not line up record by record.",""
"sdg_fieldDataProc","sdg_fieldSuperParent","Requires intermediate table: join via sdg_fieldData table","Requires intermediate table: join via sdg_fieldData table",""
"sdg_externalLabSummaryData","Any other table","Join not recommended.  Relevant quality control data can be connected to analytes by overlap of analysisDate with labSpecific start and end dates.","Join not recommended.  Relevant quality control data can be connected to analytes by overlap of analysisDate with labSpecific start and end dates.",""
"fsh_fieldData","fsh_perPass","reachID","reachID",NA
"fsh_perFish","fsh_perPass","eventID","eventID",NA
"fsh_bulkCount","fsh_perPass","eventID","eventID",NA
"fsh_morphospecies","fsh_perFish","morphospeciesID","morphospeciesID",NA
"fsh_morphospecies","fsh_bulkCount","morphospeciesID","morphospeciesID",NA
"fsh_fieldData","fsh_morphospecies","Join not recommended: data can be related via date of sampling","Join not recommended: data can be related via date of sampling",NA
"fsh_perPass","fsh_morphospecies","Join not recommended: data can be related via date of sampling","Join not recommended: data can be related via date of sampling",NA
"fsh_bulkCount","fsh_fieldData","Requires intermediate table: join via fsh_perpass table","Requires intermediate table: join via fsh_perpass table",NA
"fsh_bulkCount","fsh_perFish","Join not recommended: data can be related via date of sampling","Join not recommended: data can be related via date of sampling",NA
"fsh_fieldData","fsh_perFish","Join not recommended: data can be related via date of sampling","Join not recommended: data can be related via date of sampling",NA
"inv_fieldData","inv_persample","sampleID","sampleID",NA
"inv_persample","inv_taxonomyRaw","sampleID","sampleID",NA
"inv_persample","inv_taxonomyProcessed","sampleID","sampleID",NA
"inv_fieldData","inv_taxonomyRaw","sampleID","sampleID",NA
"inv_fieldData","inv_taxonomyProcessed","sampleID","sampleID",NA
"inv_taxonomyRaw","inv_taxonomyProcessed","Join not recommended. If interested in processed NEON vs. raw lab taxonomy, join by sampleID + scientificName + sizeClass.","Join not recommended. If interested in processed NEON vs. raw lab taxonomy, join by sampleID + scientificName + sizeClass.",NA
"inv_fieldData","inv_dnaExtraction","geneticSampleID","geneticSampleID",NA
"inv_dnaExtraction","inv_pcrAmplification","dnaSampleID","dnaSampleID",NA
"inv_dnaExtraction","inv_markerGeneSequencing","dnaSampleID","dnaSampleID",NA
"inv_dnaExtraction","inv_dnaRawDataFiles","dnaSampleID","dnaSampleID",NA
"inv_dnaExtractionStandard","inv_pcrAmplificationStandard","dnaSampleID","dnaSampleID",NA
"inv_dnaExtractionStandard","inv_markerGeneSequencingStandard","dnaSampleID","dnaSampleID",NA
"inv_dnaExtractionStandard","inv_dnaRawDataFilesStandard","dnaSampleID","dnaSampleID",NA
"inv_dnaExtraction","inv_metabarcodeTaxonomy","dnaSampleID","dnaSampleID",NA
"inv_dnaRawDataFiles","inv_fieldData","Requires intermediate table: join via inv_dnaExtraction table","Requires intermediate table: join via inv_dnaExtraction table",NA
"inv_dnaRawDataFiles","inv_markerGeneSequencing","Join not recommended. Join via dnaSampleID will double records.","Join not recommended. Join via dnaSampleID will double records.",NA
"inv_dnaRawDataFiles","inv_metabarcodeTaxonomy","Join not recommended. Join via dnaSampleID will double records.","Join not recommended. Join via dnaSampleID will double records.",NA
"inv_dnaRawDataFiles","inv_pcrAmplification","Join not recommended. Join via dnaSampleID will double records.","Join not recommended. Join via dnaSampleID will double records.",NA
"inv_fieldData","inv_markerGeneSequencing","Requires intermediate table: join via inv_dnaExtraction table","Requires intermediate table: join via inv_dnaExtraction table",NA
"inv_fieldData","inv_metabarcodeTaxonomy","Requires intermediate table: join via inv_dnaExtraction table","Requires intermediate table: join via inv_dnaExtraction table",NA
"inv_fieldData","inv_pcrAmplification","Requires intermediate table: join via inv_dnaExtraction table","Requires intermediate table: join via inv_dnaExtraction table",NA
"inv_markerGeneSequencing","inv_metabarcodeTaxonomy","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"inv_markerGeneSequencing","inv_pcrAmplification","dnaSampleID,primerSetID","dnaSampleID,primerSetID",NA
"inv_metabarcodeTaxonomy","inv_pcrAmplification","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"inv_dnaExtractionStandard","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"inv_dnaRawDataFilesStandard","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"inv_dnaStandardTaxon","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"inv_markerGeneSequencingStandard","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"inv_metabarcodeSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"inv_metabarcodeTaxonList","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"inv_pcrAmplificationStandard","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"amc_fieldSuperParent","amc_fieldCellCounts","parentSampleID","parentSampleID",NA
"amc_fieldCellCounts","amc_cellCounts","cellCountSampleID","cellCountSampleID",NA
"amc_cellCounts","amc_fieldSuperParent","Requires intermediate table: join via amc_fieldCellCounts table","Requires intermediate table: join via amc_fieldCellCounts table",NA
"amc_cellCountLabSummary","Any other table","Join not recommended. Data can be connected by laboratoryName and overlap of testedDate with lab-specific dates","Join not recommended. Data can be connected by laboratoryName and overlap of testedDate with lab-specific dates",NA
"mcc_swTaxonTableMetadata_16S","mcc_swTaxonTableMetadata_ITS","dnaSampleID","dnaSampleID",NA
"mcc_taxonTableLabSummary","mcc_swTaxonTableMetadata_16S","testMethod","testMethod",NA
"mcc_taxonTableLabSummary","mcc_swTaxonTableMetadata_ITS","testMethod","testMethod",NA
"mct_surfaceWaterSampleMetadata_ITS","mct_surfaceWaterPerSampleTaxonomy_ITS","dnaSampleID","dnaSampleID",NA
"mct_surfaceWaterSampleMetadata_16S","mct_surfaceWaterPerSampleTaxonomy_16S","dnaSampleID","dnaSampleID",NA
"mct_taxonTableLabSummary","mct_surfaceWaterSampleMetadata_ITS","codeVersion","codeVersion",NA
"mct_taxonTableLabSummary","mct_surfaceWaterSampleMetadata_16S","codeVersion","codeVersion",NA
"amc_fieldGenetic","mct_surfaceWaterSampleMetadata_ITS","geneticSampleID","geneticSampleID",NA
"amc_fieldGenetic","mct_surfaceWaterSampleMetadata_16S","geneticSampleID","geneticSampleID",NA
"alg_fieldData","alg_domainLabChemistry","parentSampleID","parentSampleID",NA
"alg_algaeExternalLabDataPerSample","alg_domainLabChemistry","sampleID,sampleType,replicate","sampleID,analysisType,filterNumber",NA
"alg_algaeExternalLabDataPerSample","alg_fieldData","Requires intermediate table: join via alg_domainLabChemistry table","",NA
"alg_algaeExternalLabDataPerSample","alg_algaeExternalLabQA","Join not recommended. Users interested in data quality can join by batchID, analyte, this will create a longer table that includes blanks and standards.","",NA
"alg_fieldData","alg_domainLabChemistryComp","compositeSampleID","compositeSampleID",NA
"alg_algaeDataPerSampleCompChl","alg_domainLabChemistryComp","sampleID","analyteSampleID",NA
"alg_algaeDataPerSampleCompCNPS","alg_domainLabChemistryComp","sampleID","analyteSampleID",NA
"alg_algaeDataPerSampleCompChl","alg_algaeExternalLabQA","Join not recommended. Users interested in data quality can join by batchID, analyte, this will create a longer table that includes blanks and standards.","",NA
"alg_algaeDataPerSampleCompCNPS","alg_algaeExternalLabQA","Join not recommended. Users interested in data quality can join by batchID, analyte, this will create a longer table that includes blanks and standards.","",NA
"asi_externalLabPOMSummaryData","Any other table","Join not recommended. Quality control data can be connected to analyses by laboratoryName, analyte, and overlap of analysisDate with lab-specific start and end dates.","",NA
"alg_fieldData","alg_biomass","parentSampleID","parentSampleID",NA
"alg_biomass","alg_taxonomyProcessed","sampleID","sampleID",NA
"alg_biomass","alg_taxonomyRaw","sampleID","sampleID",NA
"alg_fieldData","alg_taxonomyProcessed","Requires intermediate table: join via alg_biomass table","Requires intermediate table: join via alg_biomass table",NA
"alg_fieldData","alg_taxonomyRaw","Requires intermediate table: join via alg_biomass table","Requires intermediate table: join via alg_biomass table",NA
"alg_qualityCheck","alg_taxonomyProcessed","sampleID, algalAnalysisMethod","sampleID, algalAnalysisMethod",NA
"alg_qualityCheck","alg_taxonomyRaw","sampleID, algalAnalysisMethod","sampleID, algalAnalysisMethod",NA
"alg_taxonomyProcessed","alg_taxonomyRaw","Join not recommended. These tables contain identifications of the same samples with possibly differing higher-order taxonomy; see User Guide.","Join not recommended. These tables contain identifications of the same samples with possibly differing higher-order taxonomy; see User Guide.",NA
"alg_archive","Any other table","Join not recommended. This table is an account of subsamples shipped to the biorepository.","Join not recommended. This table is an account of subsamples shipped to the biorepository.",NA
"alg_biovolumes","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"rea_fieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"rea_backgroundFieldSaltData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"rea_backgroundFieldCondData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"rea_plateauSampleFieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"rea_plateauMeasurementFieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"rea_widthFieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"rea_conductivityFieldData","Any other table","Join not recommended: Frequency of conductivity data is much higher than any other table, see Standard Calculations.","Join not recommended: Frequency of conductivity data is much higher than any other table, see Standard Calculations.",NA
"rea_externalLabDataSalt","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"rea_externalLabDataGas","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"sbd_fieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"sbd_backgroundFieldSaltData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"sbd_backgroundFieldCondData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"sbd_plateauSampleFieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"sbd_plateauMeasurementFieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"sbd_conductivityFieldData","Any other table","Join not recommended: conductivity data are measured at much higher frequency than other tables, see Standard Calculations","Join not recommended: conductivity data are measured at much higher frequency than other tables, see Standard Calculations",NA
"sbd_externalLabDataSalt","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations",NA
"asc_fieldDataStation","asc_fieldDataZone","namedLocation,startDate","namedLocation,startDate",NA
"asc_fieldDataStation","asc_fieldDataPoint","Requires intermediate table: join via asc_fieldDataZone table","Requires intermediate table: join via asc_fieldDataZone table",NA
"asc_fieldDataStation","asc_externalLabData","namedLocation,startDate","namedLocation,startDate",NA
"asc_externalLabData","asc_fieldDataPoint","Requires intermediate table: join via asc_fieldDataStation table","Requires intermediate table: join via asc_fieldDataStation table",NA
"asc_externalLabData","asc_fieldDataZone","Requires intermediate table: join via asc_fieldDataStation table","Requires intermediate table: join via asc_fieldDataStation table",NA
"asc_fieldDataPoint","asc_fieldDataZone","namedLocation,startDate,zoneNumber","namedLocation,startDate,zoneNumber",NA
"asc_externalLabSummary","Any other table","Join not recommended. Match by laboratoryName, analyte, method, and overlap of analysisDate with externalLabSummary dates.","Join not recommended. Match by laboratoryName, analyte, method, and overlap of analysisDate with externalLabSummary dates.",NA
"asc_fieldDataStation","asc_fieldDataZone","sedimentSampleID","sedimentSampleID",NA
"asc_fieldDataStation","asc_fieldDataPoint","sedimentSampleID","sedimentSampleID",NA
"asc_fieldDataStation","asp_externalLabData","physicalSedimentSampleID","sampleID",NA
"asi_fieldSuperParent","asi_fieldData","parentSampleID","parentSampleID",NA
"asi_fieldData","asi_POMExternalLabDataPerSample","isotopePOMSampleID,isotopePOMRep2SampleID","sampleID",NA
"asi_fieldData","asi_externalLabH2OIsotopes","isotopeH2OSampleID","isotopeH2OSampleID",NA
"asi_externalLabH2OIsotopes","asi_fieldSuperParent","Requires intermediate table: join via asi_fieldData table","",NA
"asi_externalLabH2OIsotopes","asi_POMExternalLabDataPerSample","Requires intermediate table: join via asi_fieldData table","",NA
"asi_fieldSuperParent","asi_POMExternalLabDataPerSample","Requires intermediate table: join via asi_fieldData table","",NA
"asi_externalLabPOMSummaryData","Any other table","Join not recommended. Data resolution does not match other tables.","",NA
"asi_externalLabSummaryData","Any other table","Join not recommended. Data resolution does not match other tables.","",NA
"zoo_fieldData","zoo_perSample","sampleID","sampleID",NA
"zoo_perSample","zoo_taxonomyRaw","sampleID","sampleID",NA
"zoo_perSample","zoo_taxonomyProcessed","sampleID","sampleID",NA
"zoo_fieldData","zoo_taxonomyProcessed","sampleID","sampleID",NA
"zoo_fieldData","zoo_taxonomyRaw","sampleID","sampleID",NA
"zoo_perSample","zoo_perVial","sampleID","sampleID",NA
"zoo_perVial","zoo_taxonomyProcessed"," Join not recommended. Data resolution does not match other tables."," Join not recommended. Data resolution does not match other tables.",NA
"zoo_perVial","zoo_taxonomyRaw"," Join not recommended. Data resolution does not match other tables."," Join not recommended. Data resolution does not match other tables.",NA
"zoo_taxonomyProcessed","zoo_taxonomyRaw"," Join not recommended. If interested in processed NEON vs. raw lab taxonomy, may join on sample ID + scientificName. "," Join not recommended. If interested in processed NEON vs. raw lab taxonomy, may join on sample ID + scientificName. ",NA
"zoo_fieldData","zoo_dnaExtraction","geneticSampleID","geneticSampleID",NA
"zoo_dnaExtraction","zoo_pcrAmplification","dnaSampleID","dnaSampleID",NA
"zoo_dnaExtraction","zoo_markerGeneSequencing","dnaSampleID","dnaSampleID",NA
"zoo_dnaExtraction","zoo_dnaRawDataFiles","dnaSampleID","dnaSampleID",NA
"inv_dnaExtractionStandard","inv_pcrAmplificationStandard","dnaSampleID","dnaSampleID",NA
"inv_dnaExtractionStandard","inv_markerGeneSequencingStandard","dnaSampleID","dnaSampleID",NA
"inv_dnaExtractionStandard","inv_dnaRawDataFilesStandard","dnaSampleID","dnaSampleID",NA
"zoo_dnaExtraction","zoo_metabarcodeTaxonomy","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
